Name Ship to,Ship to party,Total Cost,Min,Max
PIK VRBOVEC (Atalian GSC),507138421,3695.5699999999993,21.725,6213.83
S.M.Gastro 2022 d.o.o.,507306198,632.08,14.12,949.2
NEWREST DUBROVNIK,507139282,563.8,0.15,162.19
HOTEL LAPAD d.o.o.,507138796,594.15,0.12,1220.86
"PC PRAONICA RUBLJA, MT 3088 SKL.POT",507138715,8356.34,0.056,20187.89
PE-RI d.o.o.,507139452,187.2,21.9,201.2
TRGOVAČKI OBRT FUTURA,507138953,1367.6499999999999,0.516,1100.13
KAUFLAND ZAGREB PEŠČENICA,507138482,433.17000000000013,0.228,166.868
"DOMAĆINSTVO HOTEL AMARIN, MT 38005",507138998,7.0,2.16,2.16
DOMAĆINSTVO KAMP KOVERSADA - MT 810,507139019,7.0,0.54,0.54
KAMP VIRA,507138566,114.86,6.104,219.528
HOTEL CROATIA - HIP ZAJEDNIČKE SLUŽ,507139744,167.3,13.332,133.04
KAUFLAND MAKARSKA,507138446,253.80999999999997,0.228,144.73
KAUFLAND SINJ,507138314,432.16,9.46,229.9
LAVACO d.o.o.,507139385,522.01,0.18,310.42
DUBROVNIK USLUGE - PRAONICA RUBLJA,507139388,1508.2899999999997,20.9,283.09
HOTEL ATRIUM (PLAVI SAFIR d.o.o.),507139138,347.76000000000005,44.66,273.9
AGS SKLADIŠTE ZAGREB,507138856,1622.0100000000007,0.47,4168.6
KAUFLAND ROVINJ,507138480,284.97,6.48,127.738
KAUFLAND KUTINA,507138319,322.0200000000001,6.48,288.9
KAUFLAND ZAGREBAČKA,507138441,413.6100000000001,0.43,217.0
"""ROZA, vl. Marino Škofić""",507139645,271.85999999999996,23.4,377.0
WATERMAN HOTEL MILNA -  (SVPETRVS H,507138539,76.21000000000001,0.908,91.164
OLYMPUS - KB MERKUR,507138106,150.82000000000002,10.59,68.68
OLYMPUS - OPĆA BOLNICA DR.T.BARDEK,507138131,193.95999999999998,21.18,103.02
HOTEL MORENIA - KUHINJA,507139515,239.95,7.146,159.28
KAUFLAND ZAGREB RAVNICE,507138302,402.55000000000007,0.228,405.64599999999996
LINDSTROM d.o.o.,507139185,855.9000000000001,6.987,1238.19
HOTEL LERO d.o.o.,507139686,568.3900000000001,0.5,243.44
OLYMPUS - KB SESTRE MILOSRDNICE,507138107,81.71000000000001,10.59,55.52
GUMEX PLUS d.o.o.,507139281,269.17,31.32,249.0
DINES DUO d.o.o.,507139162,714.2900000000002,0.3,1159.6
"ECO WASH, vl. S.Petković i J.Mandić",507139628,147.14999999999998,35.54,469.15
OLYMPUS - OPĆA ŽUPANIJSKA BOLNICA V,507138135,90.4,10.59,44.93
DALBO - SKLADIŠTE,507138342,1780.5599999999993,0.005,2071.69
OPREMA-STROJEVI d.d.,507138626,14.0,6.1,6.1
KAUFLAND ZAGREB SESVETE,507138358,371.6000000000001,0.228,103.76
CAFFE BAR ŠUŠUR,507139152,7.0,3.2,3.2
SPEC.BOLNICA ZA PSIHI. I PALI.SKRB,507139290,241.28,12.92,97.27
OLYMPUS - KBC RIJEKA,507138111,299.78,52.95,177.65
RUS - HOTEL MOLINDRIO,507138792,245.06,32.43,356.25
RUS - APP Bellevue,507138765,404.3900000000001,10.81,466.03
PODRAVKA (Atalian GSC),507138049,134.97,0.864,160.58
"LOPAR, obrt za pranje rublja",507139527,25.99,151.4,151.4
PRAONICA RUBLJA MOČA S. VIDAS-RUŽIĆ,507139528,21.76,111.04,111.04
RUS - AC POLARIJ,507138772,89.78999999999999,208.524,300.25
RUS - AUTOKAMP VEŠTAR,507138780,89.78999999999999,265.96,300.25
TAPESS - SKLADIŠTE,507138221,965.32,44.04,960.375
KAUFLAND TROGIR,507138442,676.8,3.28,217.0
Fidel from the sea,507519586,7.0,3.465,3.465
KAUFLAND ZAGREB-STUDENTSKI GRAD,507138315,406.01000000000005,6.67,289.28
EKO EKSPRES - PUNIONA JANA,507138363,1044.5700000000002,239.0,2274.8
KAUFLAND BJELOVAR,507138306,273.03000000000003,0.684,133.179
PRAONICA RUBLJA MASLINICA,507138505,611.3000000000001,25.9,463.07
PRAONICA RUBLJA LAVANDA,507138604,67.94,431.4,431.4
UGOST.OBRT STARAC,507138413,88.4,12.67,93.64
eLog d.o.o.,507139697,444.70000000000005,47.8,1110.0
RESTORAN 360,507138533,387.25,0.25,146.287
PRAONICA RUBLJA DE LONGO,507138506,142.13000000000002,0.21,647.18
VELI ROKO d.o.o.,507139532,230.38000000000002,20.9,312.942
MAGDALENA,507138516,510.8800000000003,10.9,300.67
KAUFLAND SAMOBOR,507138316,175.14000000000001,6.37,55.39
CROMARIS d.d.,507139321,2238.6099999999997,17.24,5592.0
HT (Atalian),507138081,32.71,26.424,64.803
RESTORAN XXXLESNINA ZAGREB,507139470,69.91,13.07,54.379
KORČULA INŽENJERING d.o.o.,507139496,271.13,49.8,303.88
Španmes – obrt za preradu i trgovin,507419947,45.96,28.9,306.6
HOTELI BAŠKA VODA-PRAONA,507138497,687.4500000000002,4.658,1165.52
LEDEN obrt za servisiranje,507138910,646.7600000000001,38.1,568.479
OLYMPUS - OPĆA BOLNICA DR.J.BENČEVI,507138134,263.55,16.623,106.302
TURISTIČKO-ŠPORTSKA LUKA,507139580,188.63,48.55,121.46
HOTEL DUBROVNIK PALACE,507138543,2095.05,18.382,1298.31
"""CALIPSO, STOJNIĆ KORINA""",507139677,173.45,41.8,1405.8
KAUFLAND ZAGREB JANKOMIR,507138387,284.25,0.228,182.026
KAUFLAND ZAPREŠIĆ,507138361,231.41,10.76,278.46
PSIHIJATRIJSKA BOLNICA LOPAČA,507138742,123.67999999999999,167.134,241.23
PC ISTRA,507138171,34.8,6.04,35.54
ŠKOKIĆ d.o.o.,507139325,1153.1000000000001,229.0,243.0
TOPLICE SV.MARTIN,507138272,11.6,46.8,46.8
EKO EKSPRES - PUNIONA JUICY (STANIĆ,507137908,120.5,208.6,233.5
KAUFLAND KARLOVAC,507138448,335.9400000000001,6.67,109.53
HOTEL MONDO  (KOBUS d.o.o.),507139741,542.6700000000001,20.9,228.13
MMC D.O.O.,507535845,14.51,47.19,47.19
MON AMI d.o.o.,507139150,614.9200000000002,41.8,1332.9
KAUFLAND VUKOVAR,507138359,324.51000000000005,6.48,102.51
KAUFLAND PULA - ULJANIK,507138317,305.93,0.228,252.689
HRVATSKI TELEKOM (Atalian),507138071,51.879999999999995,12.8,67.5
"SKLADIŠTE MATERI. I REZ.DIJELOVA, m",507139136,542.1500000000001,4.674,338.88
TINAL d.o.o.,507138102,457.64000000000004,31.32,573.48
PC ARGOSY - 5252 domaćinstvo,507138653,14.0,2.28,7.8
KAUFLAND NOVA GRADIŠKA,507138309,257.81000000000006,9.46,351.438
RUS - AUTO KAMP NJIVICE,507138801,42.85,10.81,253.5
Hotel Hedera Rabac,507230128,53.900000000000006,32.43,283.44
PAPIRUS GRUPA d.o.o.,507139339,391.17,21.62,721.2
KAUFLAND ĐAKOVO,507138312,200.34000000000003,6.67,77.39
GRAND HOTEL LAV d.o.o.,507138588,964.5400000000002,1.02,1383.25
Šumpreš 2 obrt za usluge vl. Đana P,507538803,31.66,165.286,165.286
WASHTEKS d.o.o.,507139328,361.5400000000001,208.6,741.2
ACCOLA d.o.o.,507139683,44.35,229.28,229.28
PERFECTUM - SKLADIŠTE,507139226,2640.77,0.8,5181.844
INTIMELA OBRT ZA USLUGE,507516445,199.85,25.9,611.6
KAUFLAND VELIKA GORICA,507138301,250.14000000000001,0.228,67.69
OLYMPUS - OPĆA BOLNICA BJELOVAR,507138115,149.44,10.59,56.02
RUS - TN AMARIN,507138766,544.05,142.9,882.51
VUKOVARSKA PIVOVARA,507138751,49.69,395.31,395.31
HOTEL PARK,507139241,133.68,149.3,255.3
PRAONICA RUBLJA AVIOR HOLIDAYS,507138509,93.49,23.3,176.8
SUNČANI HVAR d.d.,507138556,14.0,12.104,18.31
KAUFLAND POREČ,507138322,352.3,3.28,85.13999999999999
OLYMPUS - KLENOVNIK -BOL.ZA PLUĆ.BO,507138114,142.11,10.59,55.52
BALTAS NERO d.o.o.,507139707,475.64,20.9,394.5
CROWN COOL d.o.o.,507138597,77.76,547.8,597.6
APARTMANI LANTERNA (ISTRA LOGISTIKA,507139480,450.72999999999996,73.32,463.43
RESTORAN XXXLESNINA RIJEKA,507139471,135.49,10.964,54.391
TRANS-IGO d.o.o.,507139346,47.32,139.83,210.96
HOTEL BODUL,507138560,138.34,18.68,520.606
Kaufland Rijeka Škurinje,507462779,279.11,0.228,420.793
HOTEL CROATIA - KUHINJA,507139746,14.0,0.51,8.756
JAMNICA d.d.  (ATALIAN GSC),507139108,28.11,14.41,55.01
KAUFLAND SPLIT,507138360,356.15,3.28,268.996
"L R, obrt za trgovinu, vl. Ivica Ra",507139239,65.2,111.4,136.5
ROYAL WASH VAJK d.o.o.,507516448,156.45,20.9,253.33
HOTEL PLAŽA,507138759,745.96,74.7,1610.0
Agencija za komercijalnu,507261147,88.27,21.62,215.45
RESTORAN MAGMA (Atalian),507139120,39.5,46.59,116.49
LJUBICA KATANIĆ (Atalian),507139097,144.26,0.255,84.12
PATREA proizvodnja i prodaja suveni,507139177,67.38,1.72,71.47
PIVOVARA DARUVAR d.o.o.,507139615,233.2,7.3,1262.4
FEATHER j.d.o.o.,507139734,984.02,0.21,591.02
PRAONICA RUBLJA INTIMELA,507139536,678.96,46.6,837.7
RESTORAN CAVALLINO,507138330,37.59,84.71,166.71
ADRIALAB d.o.o.,507139286,154.85,86.46,328.89
ZAGREBAČKA PIVOVARA - variona,507138750,234.18999999999997,22.33,112.78999999999999
BOB*s INDUSTRIJSKA ZONA,507138340,58.31,39.09,137.4
PETASON d.o.o.,507138338,34.86,44.7,84.0
Sulet grupa,507435071,46.36,84.0,135.39
GENERA d.d.,507139159,137.32,80.7,458.0
OLYMPUS - KB SPLIT,507138108,206.35000000000002,16.92,454.56
DENIĆ USLUGE d.o.o.,507188873,203.82,498.0,498.0
"BRUŠKIN, Obrt za usluge, vl. Katija",507139433,26.01,124.128,124.128
VINDON-SKL.REPROMATERIJALA,507138325,912.7500000000001,20.9,1280.0
KAUFLAND ZAGREB SREDIŠĆE,507138445,197.36,7.2,106.63999999999999
IGO-MAT d.o.o.,507139555,99.86000000000001,297.7,310.37
BELUPO - tvornica krutih lijekova,507138045,969.8699999999999,12.44,6905.2
PLIVA - SKLADIŠTE REŽIJSKOG MATERIJ,507138745,660.53,83.6,1150.5
VILLA JAGODNA,507139392,27.35,16.24,70.21
OLYMPUS - OPĆA BOLNICA PULA,507138146,53.540000000000006,21.18,55.52
MARDEŠIĆ SKL. - BJANKO TRANSPORTI,507139182,1049.8799999999999,12.0,2486.4
"MESNICA KANURIĆ, vl. Sanel Kanurić",507139589,63.36,211.2,394.4
Artearia Hotel,507139563,46.6,22.33,129.98
OLYMPUS - KLINIKA ZA INFEKTIVNE BOL,507138113,67.56,28.01,55.52
DOMAĆINSTVO KAMP ALEM,507368966,7.0,0.25,0.25
ATALIAN GSC - SKLADIŠTE,507139086,277.25000000000006,0.5,663.888
PC KAMP LANTERNA,507138183,28.0,3.64,14.608
ALCA - ZADAR,507302332,56.51,0.25,31.306
VETROPAK STRAŽA,507137910,196.57000000000005,10.281,127.88
OMCO,507138041,178.3,12.9,91.23
OLYMPUS CZECH GROUP s.r.o. Podružni,507139377,65.28,5.17,68.68
SANOL H d.o.o.,507138958,248.08999999999997,14.053,821.09
RESTORAN LATERAL,507138810,20.85,46.91,69.86
RBA - RESTORAN,507138429,71.69,0.228,97.59
NATURALIS d.o.o.,507138337,252.65999999999997,47.8,401.0
URIHO - ZAGREB,507139716,136.05,66.99,303.24
PERI LAND d.o.o.,507139652,191.89999999999998,25.9,267.9
OPTIMUS PLUS - skladište,507139213,314.83,41.8,977.1
ŠTIPALICA j.d.o.o.,507139511,266.16999999999996,51.8,442.1
VILA PARADISO,507138501,30.27,143.4,143.4
HM - UNIIMPEX - skladište,507188877,175.41,498.0,747.0
RESTORAN XXXLESNINA PULA,507139469,164.14000000000001,6.223,69.809
HOTEL LUXE,507138969,76.01,179.16,283.65
HRVATSKI TELEKOM (Atalian),507138078,203.96999999999997,0.456,146.1
PC VALAMAR BELLEVUE HOTEL&RESIDENCE,507138204,21.0,3.528,12.38
OLYMPUS - POLIKLINIKA SUNCE,507138132,35.0,10.59,17.42
GRAND PARK HOTEL - MT 27005 DOMAĆIN,507139026,14.0,0.9,21.85
HT d.d. (Atalian),507138093,133.23,11.454,166.59
"HIPP CROATIA d.o.o., Operativne zal",507138521,86.31,21.725,130.35
HOTEL BELLEVUE,507138546,99.3,1.29,121.552
K PIVOVARI d.o.o.,507139443,388.99000000000007,162.59,536.66
"N. D. - media, vl. Nikolina Čuljat",507139495,156.33,41.8,226.1
BELJE PLUS d.o.o.,507139596,85.66,89.32,147.69
HRVATSKI TELEKOM (Atalian),507138088,88.33999999999999,3.09,66.74
WESTGATE TOWER d. o. o.,507326366,216.49999999999997,0.145,578.2369999999999
VISUAL PARTNER d.o.o.,507139731,203.83999999999997,41.8,764.9
K PIVOVARI - VUKOVARSKA PIVOVARA,507139444,535.95,249.0,647.74
HRVATSKI TELEKOM (Atalian),507138092,81.92999999999999,10.281,82.79
TIFON-LABIRINT d.o.o.,507138532,23.19,85.038,85.038
PROLUTUM d.o.o.,507139191,20.35,53.31,53.31
EMPORION USLUGE d.o.o.,507139702,108.34,20.9,284.476
ISTARSKA PIVOVARA d.o.o.,507139157,71.67,143.4,143.4
HRVATSKI TELEKOM (ATALIAN),507138099,14.0,28.58,28.58
VALIPILE,507138194,258.3,0.898,1650.5
ZAJEDNIČKI OBRT SJAJ A.Bošnjak i J.,507138600,23.89,131.11,131.11
KOMPAKT d.o.o.,507137903,140.44,239.0,478.0
SILMA d.o.o.,507139190,108.58,224.415,420.2
HRVATSKI TELEKOM (Atalian),507138091,108.75,14.29,67.5
HOTEL CENTRAL,507138372,33.18,25.9,138.729
PC KAMP ZABLAĆE - 5267 DOMAĆINSTVO,507138645,35.0,0.51,4.58
DALEKOVOD ŽITNJAK (ATALIAN GSC),507139104,28.29,35.74,47.8
OLYMPUS - SLUŽBA ZA PRODUŽ.LIJEČ. I,507138142,21.0,10.59,28.01
VINDIJA d.d.,507138056,14.0,0.24,0.903
MARIKOMERC d.o.o.,507139464,232.89999999999998,254.8,322.6
OLYMPUS - OPĆA BOLNICA SISAK,507138119,112.02,10.59,111.04
HOTEL PADOVA,507138345,17.52,82.652,82.652
PC VALAMAR DIAMANT- HOTEL,507138172,7.0,1.82,1.82
Vindija d.d.- SKL.REP-.MAT-Županja,507583487,204.51,20.9,475.18
OLYMPUS - KLINIKA ZA DJEČJE BOLESTI,507138112,22.84,55.52,55.52
VET.STANICA JASTREBARSKO d.o.o.,507138151,24.1,267.14,267.14
LUKAČ d.o.o.,507292220,241.32000000000002,47.8,890.9300000000001
OLYMPUS - OPĆA BOLNICA ŠIBENSKO-KNI,507138140,70.37,10.59,73.44
OLYMPUS - SPECIJALNA BOLNICA AGRAM,507138138,58.43,10.59,49.19
KAUFLAND VARAŽDIN,507138308,184.64000000000001,3.28,98.599
FARMA STARI GRADAC,507138104,41.400000000000006,43.8,43.8
OLYMPUS - SPECIJALNA BOLNICA RADIOC,507138150,30.43,10.59,44.93
POZITRON,507139075,14.0,2.952,11.808
IVICA BILANDŽIĆ (Rest. Grande Luna),507138900,21.509999999999998,17.77,35.54
JADRAN GALENSKI LAB. - centralno sk,507138053,433.23,18.879,776.51
HRVATSKI TELEKOM,507138335,7.0,26.424,26.424
"Dom za starije osobe ""Domenico Perg",507139264,82.76,9.02,84.5
VALAMAR RIVIERA d.d.,507138167,56.629999999999995,44.832,129.47
PC LACROMA - 5262 DOMAĆINSTVO - jav,507138420,29.92,14.934,34.158
PETROKEMIJA - RESTORAN (Atalian),507139118,28.0,19.05,29.9
RUS - TOWER CENTAR RIJEKA,507138774,33.18,24.02,46.86
OLYMPUS - OPĆA BOLNICA ŠIBENIK,507138120,41.35,10.59,52.26
HOTEL TURIST VARAŽDIN,507139854,37.3,1.368,125.49
HRVATSKA INDUSTRIJA ŠEĆERA d.d.,507139611,40.1,298.6,298.6
OLYMPUS - CROATIA POLIKLINIKA,507138145,37.28,21.18,51.76
HOTEL PINIJA (Intermod d.o.o.),507139398,14.0,1.368,5.075
JOKER FITNESS d.o.o.,507139709,470.40999999999997,35.644,730.212
ZGRADA ADDIKO BANKE,507139109,69.11,26.02,137.982
OLYMPUS - OPĆA BOLNICA PULA,507188880,245.44000000000003,17.42,72.94
RIGETA d.o.o.,507139169,195.59000000000003,229.0,1838.22
DUKAT - BJELOVAR (agri),507138527,375.39,104.4,1897.2
OLYMPUS - SPEC.BOLNICA DUGA RESA,507138127,7.0,16.72,16.72
DOM ZA PSIHIČKI BOLESNE ODRASLE OSO,507139237,55.21,38.807,58.9
YASENKA d.o.o.,507139215,255.45000000000002,22.9,478.0
OLYMPUS - SPECIJALNA BOLNICA AGRAM,507138137,7.0,27.51,27.51
LJEKARNE SPLITSKO-DALMATINSKE ŽUPAN,507139712,137.44,22.33,462.58
HRVATSKA GOSPODARSKA KOMORA - ATALI,507742281,35.29,23.9,40.33
IKEA d.o.o. (ATALIAN),507139121,7.0,4.896,4.896
ZRAČNA LUKA ZAGREB - ATALIAN,507757587,7.0,28.58,28.58
OLYMPUS - SPECIJALNA BOLNICA AGRAM,507138143,30.61,31.77,52.95
GLAZIR d.o.o.,507139081,65.42,3.93,87.6
OPĆA ŽUPANIJSKA BOLNICA POŽEGA,507139235,7.0,0.17,0.17
Restoran ERSTE BANKA,507579420,33.94,47.8,104.25
KAUFLAND Centralno skladište,507139198,34.36,6.67,399.787
# HOTEL PULA,507138288,7.0,6.168,6.168
H.K.O. d.o.o. - skladište,507139694,7.0,14.34,14.34
HRVATSKI TELEKOM (Atalian),507138074,80.2,241.393,245.06
Kaufland Dubrovnik 7430,507771847,259.27,1.29,243.68
OLYMPUS - SPECIJALNA BOLNICA AGRAM,507138136,21.0,10.59,16.92
MARINO-LUČKO d.o.o.,507138226,7.0,7.0,7.0
Nikolina Bukovac,506509938,14.0,0.174,0.86
INVERTER d.o.o.,507139429,46.36,81.706,108.142
GLANZ SERVIS d.o.o.,507139307,37.43,3.451,31.284
S.B Dalmatino,507801920,135.88,498.0,498.0
MARTINJAK d.o.o.,507138736,38.21,53.86,232.0
HOTEL MORENIA (Uvala Borova Podaca),507139514,297.71,5.0,2628.42
GRAND HOTEL ZAGREB,507497967,250.83000000000004,0.21,758.609
INVERTER d.o.o.,507139430,7.0,15.194,15.194
ORADA ADRIATIC d.o.o.,507139473,14.0,0.1,8.62
CENTAR SPOT OSEJAVA,507810371,20.35,54.28,54.28
PC KAMP JEŽEVAC,507138631,21.0,5.0,16.966
MULALIĆ MIRSADA,507138070,7.0,22.29,22.29
OLYMPUS - SPECIJALNA BOLNICA AGRAM,507138144,21.0,10.59,17.42
Dijana Kovačić,506455493,7.0,13.6,13.6
